run,plate,grams,minutes,project
79,Q_CLICK_KEY_FULL,26.9,86.42,sliced/Q_CLICK_KEY_FULL/Q_CLICK_KEY_FULL_A1Mini_PETG.3mf
80,Q_CLICK_KEY_FULL,26.9,86.42,sliced/Q_CLICK_KEY_FULL/Q_CLICK_KEY_FULL_A1Mini_PETG.3mf
81,Q_CLICK_KEY_FULL,26.9,86.42,sliced/Q_CLICK_KEY_FULL/Q_CLICK_KEY_FULL_A1Mini_PETG.3mf
82,Q_CLICK_KEY_FULL,26.9,86.42,sliced/Q_CLICK_KEY_FULL/Q_CLICK_KEY_FULL_A1Mini_PETG.3mf
83,Q_CLICK_KEY_FULL,26.9,86.42,sliced/Q_CLICK_KEY_FULL/Q_CLICK_KEY_FULL_A1Mini_PETG.3mf
84,Q_CLICK_KEY_FULL,26.9,86.42,sliced/Q_CLICK_KEY_FULL/Q_CLICK_KEY_FULL_A1Mini_PETG.3mf
85,Q_CLICK_KEY_FULL,26.9,86.42,sliced/Q_CLICK_KEY_FULL/Q_CLICK_KEY_FULL_A1Mini_PETG.3mf
86,Q_CLICK_KEY_FULL,26.9,86.42,sliced/Q_CLICK_KEY_FULL/Q_CLICK_KEY_FULL_A1Mini_PETG.3mf
87,Q_CLICK_KEY_FULL,26.9,86.42,sliced/Q_CLICK_KEY_FULL/Q_CLICK_KEY_FULL_A1Mini_PETG.3mf
88,Q_CLICK_KEY_FULL,26.9,86.42,sliced/Q_CLICK_KEY_FULL/Q_CLICK_KEY_FULL_A1Mini_PETG.3mf
89,Q_CLICK_KEY_FULL,26.9,86.42,sliced/Q_CLICK_KEY_FULL/Q_CLICK_KEY_FULL_A1Mini_PETG.3mf
90,Q_CLICK_KEY_FULL,26.9,86.42,sliced/Q_CLICK_KEY_FULL/Q_CLICK_KEY_FULL_A1Mini_PETG.3mf
91,Q_CLICK_KEY_FULL,26.9,86.42,sliced/Q_CLICK_KEY_FULL/Q_CLICK_KEY_FULL_A1Mini_PETG.3mf
92,Q_CLICK_KEY_FULL,26.9,86.42,sliced/Q_CLICK_KEY_FULL/Q_CLICK_KEY_FULL_A1Mini_PETG.3mf
93,Q_CLICK_KEY_FULL,26.9,86.42,sliced/Q_CLICK_KEY_FULL/Q_CLICK_KEY_FULL_A1Mini_PETG.3mf
94,Q_CLICK_KEY_FULL,26.9,86.42,sliced/Q_CLICK_KEY_FULL/Q_CLICK_KEY_FULL_A1Mini_PETG.3mf
95,Q_CLICK_KEY_FULL,26.9,86.42,sliced/Q_CLICK_KEY_FULL/Q_CLICK_KEY_FULL_A1Mini_PETG.3mf
96,Q_PAPER_PAD_FULL,53.56,139.79,sliced/Q_PAPER_PAD_FULL/Q_PAPER_PAD_FULL_A1Mini_PETG.3mf
97,Q_PAPER_PAD_FULL,53.56,139.79,sliced/Q_PAPER_PAD_FULL/Q_PAPER_PAD_FULL_A1Mini_PETG.3mf
98,Q_PAPER_PAD_FULL,53.56,139.79,sliced/Q_PAPER_PAD_FULL/Q_PAPER_PAD_FULL_A1Mini_PETG.3mf
99,Q_PAPER_PAD_TAIL,41.68,110.31,sliced/Q_PAPER_PAD_TAIL/Q_PAPER_PAD_TAIL_A1Mini_PETG.3mf
100,Q_PVC_HALF_33_FULL,72.29,199.8,sliced/Q_PVC_HALF_33_FULL/Q_PVC_HALF_33_FULL_A1Mini_PETG.3mf
101,Q_PVC_HALF_33_FULL,72.29,199.8,sliced/Q_PVC_HALF_33_FULL/Q_PVC_HALF_33_FULL_A1Mini_PETG.3mf
102,Q_PVC_HALF_33_FULL,72.29,199.8,sliced/Q_PVC_HALF_33_FULL/Q_PVC_HALF_33_FULL_A1Mini_PETG.3mf
103,Q_PVC_HALF_33_TAIL,14.52,46.37,sliced/Q_PVC_HALF_33_TAIL/Q_PVC_HALF_33_TAIL_A1Mini_PETG.3mf
104,Q_DOCK_SOCKET_FULL,106.7,256.0,sliced/Q_DOCK_SOCKET_FULL/Q_DOCK_SOCKET_FULL_A1Mini_PETG.3mf
105,Q_DOCK_SOCKET_TAIL,35.61,90.35,sliced/Q_DOCK_SOCKET_TAIL/Q_DOCK_SOCKET_TAIL_A1Mini_PETG.3mf
106,Q_DOCK_TONGUE_FULL,101.82,277.65,sliced/Q_DOCK_TONGUE_FULL/Q_DOCK_TONGUE_FULL_A1Mini_PETG.3mf
107,Q_DOCK_TONGUE_TAIL,33.99,100.07,sliced/Q_DOCK_TONGUE_TAIL/Q_DOCK_TONGUE_TAIL_A1Mini_PETG.3mf
108,Q_V_BLOCK_FULL,194.42,440.85,sliced/Q_V_BLOCK_FULL/Q_V_BLOCK_FULL_A1Mini_PETG.3mf
109,Q_V_BLOCK_FULL,194.42,440.85,sliced/Q_V_BLOCK_FULL/Q_V_BLOCK_FULL_A1Mini_PETG.3mf
110,Q_V_BLOCK_TAIL,129.64,297.05,sliced/Q_V_BLOCK_TAIL/Q_V_BLOCK_TAIL_A1Mini_PETG.3mf
111,Q_CROSS_PLATE_FULL,70.76,154.7,sliced/Q_CROSS_PLATE_FULL/Q_CROSS_PLATE_FULL_A1Mini_PETG.3mf
112,Q_CROSS_PLATE_FULL,70.76,154.7,sliced/Q_CROSS_PLATE_FULL/Q_CROSS_PLATE_FULL_A1Mini_PETG.3mf
